entry_time,entry_price,exit_time,exit_price,signal,pnl,bars_held,reason
2021-01-05 04:00:00,1754.7073190673418,2021-01-05 05:00:00,1789.565099299435,SHORT,-1.9865295968914418,1,SL
2021-01-05 05:00:00,1789.565099299435,2021-01-05 09:00:00,1818.5990090109444,SHORT,-1.6224003095989912,4,SL
2021-01-05 09:00:00,1818.5990090109444,2021-01-05 10:00:00,1870.516116628797,LONG,2.8547858742146737,1,TP
2021-01-05 10:00:00,1870.516116628797,2021-01-05 11:00:00,1810.652212645714,LONG,-3.2003949846192614,1,SL
2021-01-05 11:00:00,1810.652212645714,2021-01-05 14:00:00,1737.512122084768,LONG,-4.039433417976725,3,SL
2021-01-05 14:00:00,1737.512122084768,2021-01-05 15:00:00,1803.7835000904497,SHORT,-3.8141534187494193,1,SL
2021-01-05 15:00:00,1803.7835000904497,2021-01-05 17:00:00,1891.009695734267,LONG,4.835735310775571,2,TP
2021-01-05 17:00:00,1891.009695734267,2021-01-05 18:00:00,1798.1059529483346,LONG,-4.912917315839494,1,SL
2021-01-05 18:00:00,1798.1059529483346,2021-01-05 22:00:00,1845.0068237037776,SHORT,-2.608348561359258,4,SL
2021-01-05 22:00:00,1845.0068237037776,2021-01-06 01:00:00,1773.3065203700353,LONG,-3.886180929662192,3,SL
2021-01-06 01:00:00,1773.3065203700353,2021-01-06 02:00:00,1854.2752297665168,SHORT,-4.5659737031579715,1,SL
2021-01-06 02:00:00,1854.2752297665168,2021-01-06 03:00:00,1756.1549870338924,LONG,-5.291568433720557,1,SL
2021-01-06 03:00:00,1756.1549870338924,2021-01-06 04:00:00,1825.8021155960885,SHORT,-3.965887354841529,1,SL
2021-01-06 04:00:00,1825.8021155960885,2021-01-06 05:00:00,1881.9704050130956,LONG,3.076362379976173,1,TP
2021-01-06 05:00:00,1881.9704050130956,2021-01-06 06:00:00,1770.6780252236729,LONG,-5.913609453845174,1,SL
2021-01-06 06:00:00,1770.6780252236729,2021-01-06 08:00:00,1808.919264385317,SHORT,-2.1596946828779653,2,SL
2021-01-06 08:00:00,1808.919264385317,2021-01-06 10:00:00,1751.242907090785,SHORT,3.1884428691808417,2,TP
2021-01-06 10:00:00,1751.242907090785,2021-01-06 11:00:00,1807.9581579983733,SHORT,-3.2385713414140462,1,SL
2021-01-06 11:00:00,1807.9581579983733,2021-01-06 12:00:00,1768.4201481884124,SHORT,2.1868874362520736,1,TP
2021-01-06 12:00:00,1768.4201481884124,2021-01-06 13:00:00,1822.2188350979525,SHORT,-3.042189208523323,1,SL
2021-01-06 13:00:00,1822.2188350979525,2021-01-06 14:00:00,1773.5055712342985,LONG,-2.6732938396521093,1,SL
2021-01-06 14:00:00,1773.5055712342985,2021-01-06 15:00:00,1859.975440546355,SHORT,-4.875646894747361,1,SL
2021-01-06 15:00:00,1859.975440546355,2021-01-06 16:00:00,1778.3561855903677,LONG,-4.388189928573049,1,SL
2021-01-06 16:00:00,1778.3561855903677,2021-01-06 18:00:00,1834.3277747988195,SHORT,-3.1473778797508305,2,SL
2021-01-06 18:00:00,1834.3277747988195,2021-01-06 19:00:00,1762.8167279963204,LONG,-3.898487924838956,1,SL
2021-01-06 19:00:00,1762.8167279963204,2021-01-06 20:00:00,1813.9003811029727,SHORT,-2.8978425434342086,1,SL
2021-01-06 20:00:00,1813.9003811029727,2021-01-06 21:00:00,1851.7315815333652,LONG,2.0856272386573194,1,TP
2021-01-06 21:00:00,1851.7315815333652,2021-01-06 22:00:00,1749.7619710684664,LONG,-5.506716604166825,1,SL
2021-01-06 22:00:00,1749.7619710684664,2021-01-06 23:00:00,1812.5283658559915,SHORT,-3.587139040928962,1,SL
2021-01-06 23:00:00,1812.5283658559915,2021-01-07 02:00:00,1762.899779638582,LONG,-2.738086043358099,3,SL
2021-01-07 02:00:00,1762.899779638582,2021-01-07 04:00:00,1824.5455783772024,SHORT,-3.49684079892838,2,SL
2021-01-07 04:00:00,1824.5455783772024,2021-01-07 08:00:00,1782.6458635954402,LONG,-2.2964465935144736,4,SL
2021-01-07 08:00:00,1782.6458635954402,2021-01-07 09:00:00,1814.6178776175625,SHORT,-1.79351461078408,1,SL
2021-01-07 09:00:00,1814.6178776175625,2021-01-07 11:00:00,1781.571228848566,LONG,-1.8211354123978891,2,SL
2021-01-07 11:00:00,1781.571228848566,2021-01-07 12:00:00,1871.917897229202,SHORT,-5.071179132087086,1,SL
2021-01-07 12:00:00,1871.917897229202,2021-01-07 13:00:00,1823.242199558491,LONG,-2.6003115704358866,1,SL
2021-01-07 13:00:00,1823.242199558491,2021-01-07 14:00:00,1765.0046800213902,LONG,-3.1941735196346,1,SL
2021-01-07 14:00:00,1765.0046800213902,2021-01-07 15:00:00,1829.7219309137013,SHORT,-3.6666900447837216,1,SL
2021-01-07 15:00:00,1829.7219309137013,2021-01-07 16:00:00,1772.6709454143945,LONG,-3.11801397444132,1,SL
2021-01-07 16:00:00,1772.6709454143945,2021-01-07 17:00:00,1834.3750113186388,SHORT,-3.4808527811584264,1,SL
2021-01-07 17:00:00,1834.3750113186388,2021-01-07 19:00:00,1778.187652766046,LONG,-3.0630246381410586,2,SL
2021-01-07 19:00:00,1778.187652766046,2021-01-07 20:00:00,1840.6719358006565,SHORT,-3.513930767510022,1,SL
